MunicipioID;CodigoIBGE;Nome;MesoregiaoID;MicroregiaoID;UFID;DataInsert
1;1100015;Alta Floresta D'Oeste;2;6;1;2021-07-16 00:02:54.053
2;1100379;Alto Alegre dos Parecis;2;6;1;2021-07-16 00:02:54.057
3;1100403;Alto Paraíso;2;3;1;2021-07-16 00:02:54.060
4;1100346;Alvorada D'Oeste;2;3;1;2021-07-16 00:02:54.060
5;1100023;Ariquemes;2;3;1;2021-07-16 00:02:54.060
6;1100452;Buritis;1;1;1;2021-07-16 00:02:54.063
7;1100031;Cabixi;2;8;1;2021-07-16 00:02:54.063
8;1100601;Cacaulândia;2;3;1;2021-07-16 00:02:54.063
9;1100049;Cacoal;2;6;1;2021-07-16 00:02:54.067
10;1100700;Campo Novo de Rondônia;1;1;1;2021-07-16 00:02:54.067
11;1100809;Candeias do Jamari;1;1;1;2021-07-16 00:02:54.070
12;1100908;Castanheiras;2;6;1;2021-07-16 00:02:54.070
13;1100056;Cerejeiras;2;8;1;2021-07-16 00:02:54.070
14;1100924;Chupinguaia;2;7;1;2021-07-16 00:02:54.073
15;1100064;Colorado do Oeste;2;8;1;2021-07-16 00:02:54.073
16;1100072;Corumbiara;2;8;1;2021-07-16 00:02:54.077
17;1100080;Costa Marques;1;2;1;2021-07-16 00:02:54.077
18;1100940;Cujubim;1;1;1;2021-07-16 00:02:54.077
19;1100098;Espigão D'Oeste;2;6;1;2021-07-16 00:02:54.080
20;1101005;Governador Jorge Teixeira;2;4;1;2021-07-16 00:02:54.080
21;1100106;Guajará-Mirim;1;2;1;2021-07-16 00:02:54.083
22;1101104;Itapuã do Oeste;1;1;1;2021-07-16 00:02:54.083
23;1100114;Jaru;2;4;1;2021-07-16 00:02:54.083
24;1100122;Ji-Paraná;2;4;1;2021-07-16 00:02:54.087
25;1100130;Machadinho D'Oeste;2;3;1;2021-07-16 00:02:54.087
26;1101203;Ministro Andreazza;2;6;1;2021-07-16 00:02:54.087
27;1101302;Mirante da Serra;2;4;1;2021-07-16 00:02:54.090
28;1101401;Monte Negro;2;3;1;2021-07-16 00:02:54.090
29;1100148;Nova Brasilândia D'Oeste;2;3;1;2021-07-16 00:02:54.090
30;1100338;Nova Mamoré;1;1;1;2021-07-16 00:02:54.093
31;1101435;Nova União;2;4;1;2021-07-16 00:02:54.093
32;1100502;Novo Horizonte do Oeste;2;6;1;2021-07-16 00:02:54.097
33;1100155;Ouro Preto do Oeste;2;4;1;2021-07-16 00:02:54.097
34;1101450;Parecis;2;7;1;2021-07-16 00:02:54.100
35;1100189;Pimenta Bueno;2;7;1;2021-07-16 00:02:54.100
36;1101468;Pimenteiras do Oeste;2;8;1;2021-07-16 00:02:54.100
