CIDADE;UF;CEP;IBGE
Brasiléia;AC;69932000;120010
Capixaba;AC;69931000;120017
Epitaciolândia;AC;69934000;120025
Feijó;AC;69960000;120030
Mâncio Lima;AC;69990000;120033
Marechal Thaumaturgo;AC;69983000;120035
Porto Acre;AC;69927000;120080
Porto Walter;AC;69982000;120039
Rodrigues Alves;AC;69985000;120042
Sena Madureira;AC;69940000;120050
Tarauacá;AC;69970000;120060
Xapuri;AC;69930000;120070
Acrelândia;AC;69945000;120001
Assis Brasil;AC;69935000;120005
Bujari;AC;69926000;120013
Cruzeiro Do Sul;AC;69980000;120020
Jordão;AC;69975000;120032
Manoel Urbano;AC;69950000;120034
Plácido De Castro;AC;69928000;120038
Rio Branco;AC;69900001;120040
Santa Rosa Do Purus;AC;69955000;120043
Senador Guiomard;AC;69925000;120045
Anadia;AL;57660000;270020
Atalaia;AL;57690000;270040
Barra De São Miguel;AL;57180000;270060
Batalha;AL;57420000;270070
Belo Monte;AL;57435000;270090
Branquinha;AL;57830000;270110
Cacimbinhas;AL;57570000;270120
Campestre;AL;57968000;270135
Campo Grande;AL;57350000;270150
Capela;AL;57780000;270170
Carneiros;AL;57535000;270180
Coité Do Nóia;AL;57325000;270200
Coqueiro Seco;AL;57140000;270220
Craíbas;AL;57320000;270235
Dois Riachos;AL;57560000;270250
Estrela De Alagoas;AL;57625000;270255
Feliz Deserto;AL;57220000;270270
Girau Do Ponciano;AL;57360000;270290
Ibateguara;AL;57890000;270300
Igreja Nova;AL;57280000;270320
Jacaré Dos Homens;AL;57430000;270340
Japaratinga;AL;57950000;270360
Jequiá Da Praia;AL;57255000;270375
Joaquim Gomes;AL;57980000;270380
Junqueiro;AL;57270000;270400
Limoeiro De Anadia;AL;57260000;270420
Major Isidoro;AL;57580000;270440
Mar Vermelho;AL;57730000;270490
Maravilha;AL;57520000;270460
Maribondo;AL;57670000;270480
Matriz De Camaragibe;AL;57910000;270510
Messias;AL;57990000;270520
Monteirópolis;AL;57440000;270540
Novo Lino;AL;57970000;270560
Olho D`Água Do Casado;AL;57470000;270580
Olho D`Água Grande;AL;57390000;270590
Ouro Branco;AL;57525000;270610
Palmeira Dos Índios;AL;57600001;270630
Pariconha;AL;57475000;270642
Paripueira;AL;57935000;270644
Paulo Jacinto;AL;57740000;270660
Piaçabuçu;AL;57210000;270680
Pilar;AL;57150000;270690
Piranhas;AL;57460000;270710
Porto Calvo;AL;57900000;270730
Porto Real Do Colégio;AL;57290000;270750
Quebrangulo;AL;57750000;270760
Roteiro;AL;57257000;270780
Santana Do Ipanema;AL;57500000;270800
Santana Do Mundaú;AL;57840000;270810
São José Da Laje;AL;57860000;270830
São Luís Do Quitunde;AL;57920000;270850
São Miguel Dos Campos;AL;57240001;270860
São Sebastião;AL;57275000;270880
Satuba;AL;57120000;270890
Tanque D`Arca;AL;57635000;270900
Teotônio Vilela;AL;57265000;270915
Traipu;AL;57370000;270920
Viçosa;AL;57700000;270940
Água Branca;AL;57490000;270010
Arapiraca;AL;57300001;270030
Barra De Santo Antônio;AL;57925000;270050
Belém;AL;57630000;270080
Boca Da Mata;AL;57680000;270100
Cajueiro;AL;57770000;270130
Campo Alegre;AL;57250000;270140
Canapi;AL;57530000;270160
Chã Preta;AL;57760000;270190
Colônia Leopoldina;AL;57975000;270210
Coruripe;AL;57230000;270230
Delmiro Gouveia;AL;57480000;270240
Feira Grande;AL;57340000;270260
Flexeiras;AL;57995000;270280
Igaci;AL;57620000;270310
Inhapi;AL;57545000;270330
Jacuípe;AL;57960000;270350
Jaramataia;AL;57425000;270370
Jundiá;AL;57965000;270390
Lagoa Da Canoa;AL;57330000;270410
Maceió;AL;57000001;270430
Maragogi;AL;57955000;270450
Marechal Deodoro;AL;57160000;270470
Mata Grande;AL;57540000;270500
Minador Do Negrão;AL;57615000;270530
Murici;AL;57820000;270550
Olho D`Água Das Flores;AL;57442000;270570
Olivença;AL;57550000;270600
Palestina;AL;57410000;270620
Pão De Açúcar;AL;57400000;270640
Passo De Camaragibe;AL;57930000;270650
Penedo;AL;57200000;270670
Pindoba;AL;57720000;270700
Poço Das Trincheiras;AL;57510000;270720
Porto De Pedras;AL;57945000;270740
Rio Largo;AL;57100000;270770
Santa Luzia Do Norte;AL;57130000;270790
São Brás;AL;57380000;270820
São José Da Tapera;AL;57445000;270840
São Miguel Dos Milagres;AL;57940000;270870
Senador Rui Palmeira;AL;57515000;270895
Taquarana;AL;57640000;270910
União Dos Palmares;AL;57800000;270930
Amapá;AP;68950000;160010
Calçoene;AP;68960000;160020
Ferreira Gomes;AP;68915000;160023
Laranjal Do Jari;AP;68920000;160027
Mazagão;AP;68940000;160040
Pedra Branca Do Amaparí;AP;68945000;160015
Pracuúba;AP;68918000;160055
Santana;AP;68925001;160060
Tartarugalzinho;AP;68990000;160070
Cutias;AP;68973000;160021
Itaubal;AP;68976000;160025
Macapá;AP;68900001;160030
Oiapoque;AP;68980000;160050
Porto Grande;AP;68997000;160053
Serra Do Navio;AP;68948000;160005
Vitória Do Jari;AP;68924000;160080
Amaturá;AM;69620000;130006
Apuí;AM;69265000;130014
Autazes;AM;69240000;130030
Barcelos;AM;69700000;130040
Benjamin Constant;AM;69630000;130060
Boa Vista Do Ramos;AM;69195000;130068
Borba;AM;69200000;130080
Canutama;AM;69820000;130090
Carauari;AM;69500000;130100
Careiro Da Várzea;AM;69255000;130115
Codajás;AM;69450000;130130
Envira;AM;69870000;130150
Guajará;AM;69895000;130165
Humaitá;AM;69800000;130170
Iranduba;AM;69415000;130185
Itamarati;AM;69510000;130195
Japurá;AM;69495000;130210
Jutaí;AM;69660000;130230
Lábrea;AM;69830000;130240
Manaquiri;AM;69435000;130255
Manicoré;AM;69280000;130270
Maués;AM;69190000;130290
Nhamundá;AM;69140000;130300
Novo Airão;AM;69730000;130320
Parintins;AM;69150001;130340
Pauini;AM;69860000;130350
Rio Preto Da Eva;AM;69117000;130356
Santo Antônio Do Içá;AM;69680000;130370
São Paulo De Olivença;AM;69600000;130390
São Sebastião Do Uatumã;AM;69135000;130395
Silves;AM;69114000;130400
Tapauá;AM;69480000;130410
Tonantins;AM;69685000;130423
Urucará;AM;69130000;130430
Alvarães;AM;69540000;130002
Anamã;AM;69445000;130008
Anori;AM;69440000;130010
Atalaia Do Norte;AM;69650000;130020
Barreirinha;AM;69160000;130050
Beruri;AM;69430000;130063
Boca Do Acre;AM;69850000;130070
Caapiranga;AM;69425000;130083
Careiro;AM;69250000;130110
Coari;AM;69460000;130120
Eirunepé;AM;69880000;130140
Fonte Boa;AM;69670000;130160
Ipixuna;AM;69890000;130180
Itacoatiara;AM;69100001;130190
Itapiranga;AM;69120000;130200
Juruá;AM;69520000;130220
Manacapuru;AM;69400001;130250
Manaus;AM;69000001;130260
Maraã;AM;69490000;130280
Nova Olinda Do Norte;AM;69230000;130310
Novo Aripuanã;AM;69260000;130330
Presidente Figueiredo;AM;69735000;130353
Santa Isabel Do Rio Negro;AM;69740000;130360
São Gabriel Da Cachoeira;AM;69750000;130380
Tabatinga;AM;69640000;130406
Tefé;AM;69550001;130420
Uarini;AM;69530000;130426
Urucurituba;AM;69180000;130440
Abaíra;BA;46690000;290010
Abaré;BA;48680000;290020
Adustina;BA;48435000;290035
Aiquara;BA;45220000;290060
Alcobaça;BA;45910000;290080
Almadina;BA;45640000;290090
Amélia Rodrigues;BA;44230000;290110
Anagé;BA;45180000;290120
Andorinha;BA;48990000;290135
Angical;BA;47960000;290140
Antas;BA;48420000;290160
Antônio Gonçalves;BA;44780000;290180
Apuarema;BA;45355000;290195
Araças;BA;48108000;290205
Araci;BA;48760000;290210
Arataca;BA;45695000;290225
Aurelino Leal;BA;45675000;290240
Baixa Grande;BA;44620000;290260
Banzaê;BA;48405000;290265
Barra Da Estiva;BA;46650000;290280
Barra Do Mendes;BA;44990000;290300
